,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
0,57,616,2,1,3,-153263.20075894924,0.23,42658.02,-26716.470528558682
1,45,591,1,1,1,161474.30730573952,0.24,248327.61,2152714.3798781936
2,59,613,1,1,1,14209.331170472313,0.09,24371.94,31745.768649193997
3,62,656,1,1,1,-77270.8971615558,0.17,48788.04,-29276.968625243913
4,45,567,2,1,5,282353.1824904715,0.22,47808.66,659158.1329153571
5,40,300,1,1,1,186133.53589746484,0.12,31875.4,365516.5771722554
6,35,318,1,1,1,101335.18715003086,0.03,31627.77,161702.619756603
7,57,545,1,1,1,-129635.97651341364,0.08,90134.48,-52063.765688794665
8,44,316,1,1,1,-164230.28973520375,0.29,153383.25,1431793.8140011835
9,54,538,2,1,5,-100385.68158060308,0.23,30736.38,8307.346999720481
10,40,316,1,1,1,-256997.4062920032,0.12,46493.72,94608.63188174466
11,61,621,2,1,3,16199.820562777051,0.25,125928.79,188085.99720223495
12,46,591,1,1,1,43015.849398840575,0.24,81370.26,649286.732941852
13,58,613,1,1,1,-177223.18834805524,0.12,61418.26,-97799.81927618015
14,40,644,3,1,5,16123.378077014168,0.25,45892.81,596689.6603839437
15,45,644,2,1,5,144259.26616964306,0.18,29561.58,322041.1569083221
16,48,352,1,1,1,-122897.38481720704,0.17,109107.45,370632.29045565985
17,62,619,1,1,1,3663.075987899144,0.03,187001.88,27628.278641305133
18,44,300,1,1,1,489740.55883946974,0.35,28075.64,842323.439522872
19,52,587,1,1,1,68323.38367680064,0.35,39124.78,325791.7961289332
20,57,561,1,1,1,-39909.54341443597,0.22,63026.22,121216.89388822942
21,56,561,1,1,1,15876.285102139278,0.23,123495.81,363291.4123003748
22,47,308,1,1,1,481647.3761496623,0.12,62843.4,722804.6709441395
23,42,617,2,1,3,273340.95536635723,0.24,20743.65,478214.70799903595
24,42,286,1,1,1,32885.36982068384,0.04,58682.2,148475.66309793916
25,41,346,1,1,1,-92628.20629301402,0.19,173856.79,1359578.63247048
26,36,308,1,1,1,-17091.54788181004,0.01,68757.75,25628.12274118463
27,49,308,1,1,1,51771.2351944449,0.17,39639.95,217064.36566436282
28,37,310,1,1,1,99042.6361841256,0.13,79011.7,679359.3607188654
29,41,288,1,1,1,-48963.55036090561,0.19,91329.38,713900.8175825604
30,37,321,1,1,1,200707.693351556,0.01,47179.61,237499.41545699243
31,41,339,1,1,1,-170263.2794560638,0.16,18738.56,-38455.99391608726
32,57,578,1,1,1,103153.5479678066,0.07,7661.9,108923.33447850157
33,52,331,1,1,1,47346.89854924133,0.34,144416.22,970553.4819509987
34,62,656,1,1,1,-250673.97571426656,0.22,41928.62,-193007.68780437717
35,53,621,3,1,1,-192482.046027303,0.1,27982.2,-144767.57585233962
36,46,660,3,1,3,228424.97414615643,0.02,34971.71,258586.916617484
